Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PluginsInstaller\PluginsInstaller.wixproj,File,PluginsInstaller\PluginsInstaller.wixproj,,,,,,,,Current target framework: native Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\PluginsUI.csproj,,,,,,,,Current target framework: net8.0-windows Recommended target framework: net10.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\Services\LreConnectionTester.cs,79,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,linked.CancelAfter(TimeSpan.FromSeconds(30));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\Services\LreConnectionTester.cs,62,8,P:System.Diagnostics.ProcessStartInfo.Environment,,,,,"psi.Environment[""INPUT_VARPROXYPASSWORD""]             = proxyPassword;"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\Services\LreConnectionTester.cs,61,8,P:System.Diagnostics.ProcessStartInfo.Environment,,,,,"psi.Environment[""INPUT_VARPROXYUSER""]                 = proxyUser;"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\Services\LreConnectionTester.cs,60,8,P:System.Diagnostics.ProcessStartInfo.Environment,,,,,"psi.Environment[""INPUT_VARPROXYURL""]                  = proxyUrl;"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\Services\LreConnectionTester.cs,59,8,P:System.Diagnostics.ProcessStartInfo.Environment,,,,,"psi.Environment[""INPUT_VARPASSWORD""]                  = password;"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\Services\LreConnectionTester.cs,58,8,P:System.Diagnostics.ProcessStartInfo.Environment,,,,,"psi.Environment[""INPUT_VARUSERNAME""]                  = userName;"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\Services\LreConnectionTester.cs,57,8,P:System.Diagnostics.ProcessStartInfo.Environment,,,,,"psi.Environment[""INPUT_VARUSETOKENFORAUTHENTICATION""] = useToken ? ""true"" : ""false"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\Services\LreConnectionTester.cs,56,8,P:System.Diagnostics.ProcessStartInfo.Environment,,,,,"psi.Environment[""INPUT_VARPCSERVER""]                  = serverUrl;"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\Services\LreTaskRunner.cs,89,8,P:System.Diagnostics.ProcessStartInfo.Environment,,,,,"SetEnvironmentVariables(psi.Environment, config, password, proxyPassword, artifactsDir);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\Services\LreTaskRunner.cs,87,8,P:System.Diagnostics.ProcessStartInfo.Environment,,,,,"psi.Environment[""NODE_PATH""] = Path.Combine(taskRoot, ""node_modules"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\obj\Release\net8.0-windows\App.g.i.cs,78,12,M:System.Windows.Application.Run,,,,,app.Run();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\obj\Release\net8.0-windows\App.g.i.cs,63,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\obj\Release\net8.0-windows\App.g.i.cs,63,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\obj\Release\net8.0-windows\App.g.i.cs,60,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/PluginsUI;component/app.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\obj\Release\net8.0-windows\App.g.i.cs,60,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/PluginsUI;component/app.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PluginsUI\PluginsUI.csproj,File,PluginsUI\obj\Release\net8.0-windows\App.g.i.cs,56,12,T:System.Uri,,,,,"this.StartupUri = new System.Uri(""MainWindow.xaml"", System.UriKind.Relative);"
